phack,gain,typeI,power,nTotExptsPrivRep,nPrivRealInterestEffs,nPrivRealInterestTrueEffs,nTotExptsPubRep,nPubRealInterestEffs,nPubRealInterestTrueEffs
0,0,0.0551796764249903,0.774518541168236,112.061,0.779,0.746,112.061,0.761,0.794
0,1,0.0548349091882022,0.766049345394899,111.875,0.573,0.551,101.208,0.605,0.569
0,5,0.0543291286906816,0.761309199336375,111.807,0.865,0.82,101.714,0.817,0.761
0,10,0.0549240905303185,0.764917263059074,111.935,1.24,1.269,102.814,1.363,1.29
1,0,0.0851901944067288,0.859626430838162,115.566,1.046,1.03,115.566,1.096,0.963
1,1,0.086648969106994,0.862154757356345,115.667,0.792,0.694,101.649,0.813,0.72
1,5,0.0854298242362361,0.860748386523229,115.343,1.051,0.926,102.123,1.001,0.903
1,10,0.0861705843060588,0.859895506666182,115.666,1.682,1.528,103.692,1.767,1.589
5,0,0.116776549856593,0.970913348531536,119.228,1.331,1.214,119.228,1.344,1.215
5,1,0.120935012188579,0.970657924891928,119.57,0.974,0.86,101.97,1.026,0.874
5,5,0.11817722352597,0.971349041128467,119.49,1.372,1.281,102.762,1.378,1.191
5,10,0.11990105985264,0.966301768778315,119.476,2.305,1.922,104.648,2.264,1.949
10,0,0.13475213245885,0.997434520178693,121.161,1.479,1.217,121.161,1.562,1.21
10,1,0.134272006304287,0.995551106609407,121.311,1.109,0.917,102.103,1.08,0.911
10,5,0.135159270414707,0.994910973097012,121.168,1.494,1.328,103.029,1.532,1.304
10,10,0.133237478981282,0.995737958152958,121.114,2.38,2.291,104.982,2.544,2.206
